WA,3,1,16,3,34,8
VA,3,1,0,0,0,0
RI,3,1,0,0,2,0
NJ,3,1,0,0,0,0
MI,3,1,0,0,14,0
MA,3,1,0,0,0,0
WA,3,2,31,3,65,11
VA,3,2,0,0,0,0
RI,3,2,0,0,2,0
NJ,3,2,0,0,0,0
MI,3,2,13,0,27,0
MA,3,2,0,0,0,0
WA,3,3,25,3,90,14
VA,3,3,0,0,0,0
RI,3,3,0,0,2,0
NJ,3,3,0,0,0,0
MI,3,3,23,0,50,0
MA,3,3,0,0,0,0
WI,3,4,0,0,1,0
WA,3,4,38,2,128,16
VA,3,4,0,0,0,0
TX,3,4,0,0,1,0
SC,3,4,0,0,0,0
RI,3,4,0,0,2,0
OR,3,4,0,0,3,0
NY,3,4,0,0,6,0
NJ,3,4,0,0,0,0
NH,3,4,0,0,2,0
NC,3,4,0,0,1,0
MI,3,4,24,0,74,0
MA,3,4,0,0,0,0
IL,3,4,0,0,4,0
GA,3,4,0,0,2,0
FL,3,4,0,0,2,0
CA,3,4,0,0,53,0
AZ,3,4,0,0,2,0
WI,3,5,0,0,1,0
WA,3,5,51,4,179,20
VA,3,5,0,0,0,0
TX,3,5,0,0,1,0
TN,3,5,0,0,1,0
SC,3,5,0,0,0,0
RI,3,5,1,0,3,0
OR,3,5,0,0,3,0
OH,3,5,0,0,0,0
NY,3,5,16,0,22,0
NV,3,5,0,0,1,0
NJ,3,5,1,0,1,0
NH,3,5,0,0,2,0
NE,3,5,0,0,0,0
NC,3,5,0,0,1,0
MI,3,5,26,0,100,0
MD,3,5,0,0,0,0
MA,3,5,0,0,0,0
IL,3,5,1,0,5,0
GA,3,5,0,0,2,0
FL,3,5,7,0,9,0
CO,3,5,0,0,2,0
CA,3,5,0,0,53,0
AZ,3,5,0,0,2,0
WV,3,6,0,0,0,0
WI,3,6,0,0,1,0
WA,3,6,39,6,218,26
VT,3,6,0,0,0,0
VA,3,6,0,0,0,0
TX,3,6,4,0,5,0
TN,3,6,0,0,1,0
SC,3,6,0,0,0,0
RI,3,6,0,0,3,0
PA,3,6,0,0,2,0
OR,3,6,0,0,3,0
OH,3,6,0,0,0,0
NY,3,6,11,0,33,0
NV,3,6,2,0,3,0
NM,3,6,0,0,0,0
NJ,3,6,0,0,1,0
NH,3,6,0,0,2,0
NE,3,6,0,0,0,0
NC,3,6,1,0,2,0
MN,3,6,0,0,1,0
MI,3,6,40,0,140,0
MD,3,6,3,0,3,0
MA,3,6,0,0,0,0
KY,3,6,0,0,0,0
KS,3,6,0,0,0,0
IN,3,6,0,0,1,0
IL,3,6,0,0,5,0
